Broad Scale Habitat;Biotic group;Contribution to supply;Name;Contribution to supply;Condition indicator name for species or group;;;;;;
 Variable salinity water;Birds;1;;;;;; ;1x+0;;
 Variable salinity water;Whales;1;;;;;; ;1x+0;;
 Variable salinity water;Seals;1;;;;;; ;1x+0;;
 Variable salinity water;Reptiles;1;;;;;; ;1x+0;;
 Variable salinity water;Fish;1;;;;;; ;1x+0;;
 Variable salinity water;Cephalopods;1;;;;;; ;1x+0;;
 Variable salinity water;Phytoplankton;3;;;;;Phytoplankton;linear;1x+0;;
 Variable salinity water;Zooplankton;2;;;;;; ;1x+0;;
 Variable salinity water;Bacteria;3;;;;;;linear;1x+0;;
Coastal Waters;Birds;1;;;;CPI;; ;1x+0;;
Coastal Waters;Whales;1;;;;CPI;; ;1x+0;;
Coastal Waters;Seals;1;;;;CPI;; ;1x+0;;
Coastal Waters;Reptiles;1;;;;CPI;; ;1x+0;;
Coastal Waters;Fish;1;;;;CPI;; ;1x+0;;
Coastal Waters;Cephalopods;1;;;;CPI;; ;1x+0;;
Coastal Waters;Phytoplankton;3;;;;CPI;Phytoplankton;linear;1x+0;;
Coastal Waters;Zooplankton;2;;;;CPI;; ;1x+0;;
Coastal Waters;Bacteria;3;;;;CPI;;linear;1x+0;;
Shelf Waters;Birds;1;;;;;; ;1x+0;;
Shelf Waters;Whales;1;;;;;; ;1x+0;;
Shelf Waters;Seals;1;;;;;; ;1x+0;;
Shelf Waters;Reptiles;1;;;;;; ;1x+0;;
Shelf Waters;Fish;1;;;;;; ;1x+0;;
Shelf Waters;Cephalopods;1;;;;;; ;1x+0;;
Shelf Waters;Phytoplankton;3;;;;;Phytoplankton;linear;1x+0;;
Shelf Waters;Zooplankton;1;;;;;; ;1x+0;;
Shelf Waters;Bacteria;3;;;;;;linear;1x+0;;
Oceanic Waters;Birds;1;;;;;; ;1x+0;;
Oceanic Waters;Whales;1;;;;;; ;1x+0;;
Oceanic Waters;Seals;1;;;;;; ;1x+0;;
Oceanic Waters;Reptiles;1;;;;;; ;1x+0;;
Oceanic Waters;Fish;1;;;;;; ;1x+0;;
Oceanic Waters;Cephalopods;1;;;;;; ;1x+0;;
Oceanic Waters;Phytoplankton;3;;;;;Phytoplankton;linear;1x+0;;
Oceanic Waters;Bacteria;3;;;;;;linear;1x+0;;
Ice-associated Habitats;Birds;1;;;;;; ;1x+0;;
Ice-associated Habitats;Seals;1;;;;;; ;1x+0;;
Ice-associated Habitats;Fish;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Birds;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Whales;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Seals;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Fish;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Cephalopods;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Epifauna;3;;;;;Benthic fauna quality;linear;1x+0;;
Littoral Rock and Biogenic Reef;Infauna;1;;;;;; ;1x+0;;
Littoral Rock and Biogenic Reef;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Littoral Rock and Biogenic Reef;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Littoral Sediment;Birds;1;;;;;; ;1x+0;;
Littoral Sediment;Whales;1;;;;;; ;1x+0;;
Littoral Sediment;Seals;1;;;;;; ;1x+0;;
Littoral Sediment;Reptiles;1;;;;;; ;1x+0;;
Littoral Sediment;Fish;1;;;;;; ;1x+0;;
Littoral Sediment;Cephalopods;1;;;;;; ;1x+0;;
Littoral Sediment;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Littoral Sediment;Infauna;2;;;;;; ;1x+0;;
Littoral Sediment;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Littoral Sediment;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Birds;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Whales;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Seals;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Reptiles;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Fish;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Cephalopods;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Epifauna;3;;;;;Benthic fauna quality;linear;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Infauna;1;;;;;; ;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Shallow Sublittoral Rock and Biogenic Reef;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shallow Sublittoral Coarse sediment;Birds;1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Whales (dead);1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Seals (haul outs);1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Reptiles (nesting);1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Fish;1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Cephalopods;1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Epifauna;1;;;;;Benthic fauna quality;linear;1x+0;;
Shallow Sublittoral Coarse sediment;Infauna;1;;;;;; ;1x+0;;
Shallow Sublittoral Coarse sediment;Macrophytes;3;;;;;Macrophytes;linear;1x+0;;
Shallow Sublittoral Coarse sediment;Macroalgae;3;;;;;Macroalgae;linear;1x+0;;
Shallow Sublittoral Sand;Birds;1;;;;;; ;1x+0;;
Shallow Sublittoral Sand;Whales (dead);1;;;;;; ;1x+0;;
Shallow Sublittoral Sand;Seals (haul outs);1;;;;;; ;1x+0;;
Shallow Sublittoral Sand;Reptiles (nesting);1;;;;;; ;1x+0;;
Shallow Sublittoral Sand;Fish;1;;;;;; ;1x+0;;
Shallow Sublittoral Sand;Cephalopods;1;;;;;; ;1x+0;;
