Biotic_group;Group;SpeciesGroup;Species;SppID;IndicatorCode;Name of Indicator;Category
Fish;Fish;Commercial Fish;Blue whiting (Micromesistius poutassou);14;F;F - Blue whiting (Micromesistius poutassou);Fish
Fish;Fish;Commercial Fish;Boarfish (Capros aper);36;F;F - Boarfish (Capros aper);Fish
Fish;Fish;Commercial Fish;Haddock (Melanogrammus aeglefinus);12;F;F - Haddock (Melanogrammus aeglefinus);Fish
Fish;Fish;Commercial Fish;Hake (Merluccius merluccius);22;F;F - Hake (Merluccius merluccius);Fish
Fish;Fish;Commercial Fish;Horse mackerel (Trachurus trachurus);38;F;F - Horse mackerel (Trachurus trachurus);Fish
Fish;Fish;Commercial Fish;Mackerel (Scomber scombrus);50;F;F - Mackerel (Scomber scombrus);Fish
Fish;Fish;Commercial Fish;Megrim (Lepidorhombus whiffiagonis);68;F;F - Megrim (Lepidorhombus whiffiagonis);Fish
Fish;Fish;Commercial Fish;Blue whiting (Micromesistius poutassou);14;SSB;SSB - Blue whiting (Micromesistius poutassou);Fish
Fish;Fish;Commercial Fish;Boarfish (Capros aper);36;SSB;SSB - Boarfish (Capros aper);Fish
Fish;Fish;Commercial Fish;Haddock (Melanogrammus aeglefinus);12;SSB;SSB - Haddock (Melanogrammus aeglefinus);Fish
Fish;Fish;Commercial Fish;Hake (Merluccius merluccius);22;SSB;SSB - Hake (Merluccius merluccius);Fish
Fish;Fish;Commercial Fish;Horse mackerel (Trachurus trachurus);38;SSB;SSB - Horse mackerel (Trachurus trachurus);Fish
Fish;Fish;Commercial Fish;Mackerel (Scomber scombrus);50;SSB;SSB - Mackerel (Scomber scombrus);Fish
Fish;Fish;Commercial Fish;Megrim (Lepidorhombus whiffiagonis);68;SSB;SSB - Megrim (Lepidorhombus whiffiagonis);Fish
Fish;Fish;Commercial Fish;Seabass (Dicentrarchus labrax);48;SSB;SSB - Seabass (Dicentrarchus labrax);Fish
Cetaceans;Mammals;Cetacea;Harbour Porpoise;;M6;Annual bycatch as a percentage of the best abundance estimate;Mammals - Cetacea
Benthic fauna quality;Benthic Habitats;Benthic Status;;;BH3;Benthic status;Benthic status
Seals;Mammals;Seals;Grey Seal;;M3;Grey seals T1;Mammals - Carnivora
Seals;Mammals;Seals;Harbour Seal;;M3;Harbour seals T1;Mammals - Carnivora
Birds;Birds;Surface feeders, Breeding;;;B1;Abundance surface feeders, Breeding;Birds
Birds;Birds;Wading feeders, Breeding;;;B1;Abundance wading feeders, Breeding;Birds
Birds;Birds;All, Both;;;B1;Bird Abundance All, Both;Birds
Birds;Birds;Benthic feeders, Breeding;;;B1;Bird Abundance benthic feeders, Breeding;Birds
Birds;Birds;Benthic feeders, Non-breeding;;;B1;Bird Abundance benthic feeders, Non-breeding;Birds
Birds;Birds;Grazing feeders, Non-breeding;;;B1;Bird Abundance grazing feeders, Non-breeding;Birds
Birds;Birds;Surface feeders, Non-breeding;;;B1;Bird Abundance surface feeders, Non-breeding;Birds
Birds;Birds;Total, Breeding;;;B1;Bird Abundance total, Breeding;Birds
Birds;Birds;Total, Non-breeding;;;B1;Bird Abundance total, Non-breeding;Birds
Birds;Birds;Wading feeders, Non-breeding;;;B1;Bird Abundance wading feeders, Non-breeding;Birds
Birds;Birds;Water column feeders, Breeding;;;B1;Bird Abundance water column feeders, Breeding;Birds
Birds;Birds;Water column feeders, Non-breeding;;;B1;Bird Abundance water column feeders, Non-breeding;Birds
Birds;Birds;Surface Feeders, Breeding;Arctic skua;131;B3;Bird Breeding Success: Arctic skua;Birds
Birds;Birds;Surface Feeders, Breeding;Arctic tern;113;B3;Bird Breeding Success: Arctic tern;Birds
Birds;Birds;Surface Feeders, Breeding;Black-headed Gull;354;B3;Bird Breeding Success: Black-headed Gull;Birds
Birds;Birds;Surface Feeders, Breeding;Black-legged kittiwake;110;B3;Bird Breeding Success: Black-legged kittiwake;Birds
Birds;Birds;Pelagic feeders, Breeding;Common Guillemot;94;B3;Bird Breeding Success: Common Guillemot;Birds
Birds;Birds;Surface Feeders, Breeding;Common Gull;105;B3;Bird Breeding Success: Common Gull;Birds
Birds;Birds;Surface Feeders, Breeding;Common tern;112;B3;Bird Breeding Success: Common tern;Birds
Birds;Birds;Pelagic feeders, Breeding;European shag;140;B3;Bird Breeding Success: European shag;Birds
Birds;Birds;Surface Feeders, Breeding;Great Black-backed Gull;107;B3;Bird Breeding Success: Great Black-backed Gull;Birds
Birds;Birds;Pelagic feeders, Breeding;Great Cormorant;418;B3;Bird Breeding Success: Great Cormorant;Birds
Birds;Birds;Surface Feeders, Breeding;Great Skua;423;B3;Bird Breeding Success: Great Skua;Birds
Birds;Birds;Surface Feeders, Breeding;Herring Gull;102;B3;Bird Breeding Success: Herring Gull;Birds
