"SpatialAssessmentUnit";"Biotic_group";"integ_beat";"number_indicators"
"100kmE33N29";"Benthic fauna quality";0.5;1
"100kmE33N29";"Birds";0.530625;32
"100kmE33N29";"Cetaceans";NA;0
"100kmE33N29";"Fish";0.624;15
"100kmE33N29";"Seals";0.68;2
"100kmE33N30";"Benthic fauna quality";0.5;1
"100kmE33N30";"Birds";0.530625;32
"100kmE33N30";"Cetaceans";NA;0
"100kmE33N30";"Fish";0.624;15
"100kmE33N30";"Seals";0.66;3
"100kmE33N31";"Benthic fauna quality";0.5;1
"100kmE33N31";"Birds";0.530625;32
"100kmE33N31";"Cetaceans";NA;0
"100kmE33N31";"Fish";0.624;15
"100kmE33N31";"Seals";0.62;1
"100kmE34N29";"Benthic fauna quality";0.5;1
"100kmE34N29";"Birds";0.530625;32
"100kmE34N29";"Cetaceans";NA;0
"100kmE34N29";"Fish";0.624;15
"100kmE34N29";"Seals";0.68;2
"100kmE34N30";"Benthic fauna quality";0.5;1
"100kmE34N30";"Birds";0.530625;32
"100kmE34N30";"Cetaceans";NA;0
"100kmE34N30";"Fish";0.648484848484848;33
"100kmE34N30";"Seals";0.66;3
"100kmE34N31";"Benthic fauna quality";0.5;1
"100kmE34N31";"Birds";0.530625;32
"100kmE34N31";"Cetaceans";NA;0
"100kmE34N31";"Fish";0.624;15
"100kmE34N31";"Seals";0.62;1
"100kmE35N29";"Benthic fauna quality";0.5;1
"100kmE35N29";"Birds";0.530625;32
"100kmE35N29";"Cetaceans";NA;0
"100kmE35N29";"Fish";0.668888888888889;18
"100kmE35N29";"Seals";0.68;2
"100kmE35N30";"Benthic fauna quality";0.5;1
"100kmE35N30";"Birds";0.530625;32
"100kmE35N30";"Cetaceans";NA;0
"100kmE35N30";"Fish";0.668888888888889;18
"100kmE35N30";"Seals";0.66;3
"100kmE35N37";"Benthic fauna quality";0.36;1
"100kmE35N37";"Birds";0.530625;32
"100kmE35N37";"Cetaceans";NA;0
"100kmE35N37";"Fish";0.642857142857143;21
"100kmE35N37";"Invertebrate fisheries";0.635;6
"100kmE35N37";"Seals";0.6;2
"100kmE35N39";"Benthic fauna quality";0.36;1
"100kmE35N39";"Birds";0.530625;32
"100kmE35N39";"Cetaceans";NA;0
"100kmE35N39";"Fish";0.661153846153846;26
"100kmE35N39";"Invertebrate fisheries";0.72;6
"100kmE35N39";"Seals";0.57;2
"100kmE36N30";"Benthic fauna quality";0.5;1
"100kmE36N30";"Birds";0.530625;32
"100kmE36N30";"Cetaceans";NA;0
"100kmE36N30";"Fish";0.668888888888889;18
"100kmE36N30";"Seals";0.65;4
"100kmE36N34";"Benthic fauna quality";0.415;2
"100kmE36N34";"Birds";0.530625;32
"100kmE36N34";"Cetaceans";NA;0
"100kmE36N34";"Fish";0.642857142857143;21
"100kmE36N34";"Invertebrate fisheries";0.635;6
