"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE101N253";NA;NA;NA
"10kmE101N254";NA;NA;NA
"10kmE108N256";NA;NA;NA
"10kmE108N257";NA;NA;NA
"10kmE109N254";NA;NA;NA
"10kmE109N255";NA;NA;NA
"10kmE109N256";NA;NA;NA
"10kmE109N257";NA;NA;NA
"10kmE110N253";NA;NA;NA
"10kmE110N254";NA;NA;NA
"10kmE110N256";NA;NA;NA
"10kmE111N253";NA;NA;NA
"10kmE111N255";NA;NA;NA
"10kmE112N253";NA;NA;NA
"10kmE112N257";NA;NA;NA
"10kmE113N252";NA;NA;NA
"10kmE113N254";NA;NA;NA
"10kmE113N255";NA;NA;NA
"10kmE113N256";NA;NA;NA
"10kmE113N257";NA;NA;NA
"10kmE114N253";NA;NA;NA
"10kmE114N254";NA;NA;NA
"10kmE115N252";NA;NA;NA
"10kmE115N253";NA;NA;NA
"10kmE115N254";NA;NA;NA
"10kmE115N259";NA;NA;NA
"10kmE116N252";NA;NA;NA
"10kmE116N253";NA;NA;NA
"10kmE116N258";NA;NA;NA
"10kmE116N259";NA;NA;NA
"10kmE117N258";NA;NA;NA
"10kmE117N259";NA;NA;NA
"10kmE119N251";NA;NA;NA
"10kmE119N252";NA;NA;NA
"10kmE119N253";NA;NA;NA
"10kmE120N250";NA;NA;NA
"10kmE120N251";NA;NA;NA
"10kmE120N253";NA;NA;NA
"10kmE121N250";NA;NA;NA
"10kmE121N251";NA;NA;NA
"10kmE121N252";NA;NA;NA
"10kmE121N253";NA;NA;NA
"10kmE122N250";NA;NA;NA
"10kmE122N251";NA;NA;NA
"10kmE122N252";NA;NA;NA
"10kmE123N244";NA;NA;NA
"10kmE127N235";NA;NA;NA
"10kmE127N236";NA;NA;NA
"10kmE127N237";NA;NA;NA
"10kmE127N238";NA;NA;NA
"10kmE128N225";NA;NA;NA
"10kmE128N226";NA;NA;NA
"10kmE128N235";NA;NA;NA
"10kmE128N236";NA;NA;NA
"10kmE128N237";NA;NA;NA
"10kmE128N238";NA;NA;NA
"10kmE129N224";NA;NA;NA
"10kmE129N225";NA;NA;NA
"10kmE129N226";NA;NA;NA
"10kmE129N234";NA;NA;NA
"10kmE129N235";NA;NA;NA
"10kmE129N236";NA;NA;NA
"10kmE130N226";NA;NA;NA
"10kmE130N234";NA;NA;NA
"10kmE130N235";NA;NA;NA
"10kmE130N236";NA;NA;NA
"10kmE131N233";NA;NA;NA
"10kmE131N234";NA;NA;NA
"10kmE131N235";NA;NA;NA
"10kmE131N236";NA;NA;NA
"10kmE132N233";NA;NA;NA
"10kmE132N234";NA;NA;NA
"10kmE132N235";NA;NA;NA
"10kmE133N226";NA;NA;NA
"10kmE133N227";NA;NA;NA
"10kmE133N234";NA;NA;NA
"10kmE154N103";NA;NA;NA
"10kmE155N102";NA;NA;NA
"10kmE155N103";NA;NA;NA
"10kmE156N101";NA;NA;NA
"10kmE156N102";NA;NA;NA
"10kmE156N103";NA;NA;NA
"10kmE157N102";NA;NA;NA
"10kmE157N103";NA;NA;NA
"10kmE159N109";NA;NA;NA
"10kmE159N110";NA;NA;NA
"10kmE159N111";NA;NA;NA
"10kmE159N112";NA;NA;NA
"10kmE159N113";NA;NA;NA
"10kmE159N114";NA;NA;NA
"10kmE160N109";NA;NA;NA
"10kmE160N110";NA;NA;NA
"10kmE160N114";NA;NA;NA
"10kmE161N110";NA;NA;NA
"10kmE161N111";NA;NA;NA
"10kmE161N112";NA;NA;NA
"10kmE161N113";NA;NA;NA
"10kmE161N114";NA;NA;NA
"10kmE163N103";NA;NA;NA
"10kmE163N104";NA;NA;NA
"10kmE164N103";NA;NA;NA
"10kmE165N103";NA;NA;NA
"10kmE165N104";NA;NA;NA
"10kmE166N103";NA;NA;NA
"10kmE166N104";NA;NA;NA
"10kmE168N102";NA;NA;NA
"10kmE168N103";NA;NA;NA
"10kmE168N104";NA;NA;NA
"10kmE168N105";NA;NA;NA
"10kmE169N101";NA;NA;NA
"10kmE169N102";NA;NA;NA
"10kmE169N105";NA;NA;NA
"10kmE170N100";NA;NA;NA
"10kmE170N101";NA;NA;NA
"10kmE170N105";NA;NA;NA
"10kmE171N100";NA;NA;NA
"10kmE171N101";NA;NA;NA
"10kmE171N105";NA;NA;NA
"10kmE172N101";NA;NA;NA
"10kmE172N102";NA;NA;NA
"10kmE172N105";NA;NA;NA
"10kmE173N102";NA;NA;NA
"10kmE173N103";NA;NA;NA
"10kmE173N105";NA;NA;NA
"10kmE173N106";NA;NA;NA
"10kmE174N104";NA;NA;NA
"10kmE174N106";NA;NA;NA
"10kmE175N104";NA;NA;NA
"10kmE175N105";NA;NA;NA
"10kmE175N106";NA;NA;NA
"10kmE176N104";NA;NA;NA
"10kmE176N105";NA;NA;NA
"10kmE177N94";NA;NA;NA
"10kmE179N94";NA;NA;NA
"10kmE180N99";NA;NA;NA
"10kmE181N95";NA;NA;NA
"10kmE181N96";NA;NA;NA
"10kmE181N98";NA;NA;NA
"10kmE181N99";NA;NA;NA
"10kmE182N95";NA;NA;NA
"10kmE182N96";NA;NA;NA
"10kmE182N97";NA;NA;NA
"10kmE182N98";NA;NA;NA
"10kmE182N99";NA;NA;NA
"10kmE188N93";NA;NA;NA
"10kmE188N94";NA;NA;NA
"10kmE188N96";NA;NA;NA
"10kmE188N97";NA;NA;NA
"10kmE189N93";NA;NA;NA
"10kmE189N94";NA;NA;NA
"10kmE189N95";NA;NA;NA
"10kmE190N94";NA;NA;NA
"10kmE190N95";NA;NA;NA
"10kmE190N96";NA;NA;NA
"10kmE191N94";NA;NA;NA
"10kmE191N95";NA;NA;NA
"10kmE192N94";NA;NA;NA
"10kmE192N95";NA;NA;NA
