"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity";"area_covered";"total_indicators"
"10kmE264N199";2640000;1990000;0.15;1;2
"10kmE266N183";2660000;1830000;0.15;1;2
"10kmE276N225";2760000;2250000;0.15;1;2
"10kmE276N226";2760000;2260000;0.15;1;2
"10kmE298N344";2980000;3440000;0.21;1;2
"10kmE298N345";2980000;3450000;0.21;1;2
"10kmE299N344";2990000;3440000;0.21;1;2
"10kmE305N241";3050000;2410000;0.63;1;8
"10kmE305N333";3050000;3330000;0.54;1;2
"10kmE306N333";3060000;3330000;0.54;1;2
"10kmE307N240";3070000;2400000;0.63;1;8
"10kmE307N333";3070000;3330000;0.54;1;2
"10kmE309N363";3090000;3630000;0.21;1;2
"10kmE310N334";3100000;3340000;0.375;1;4
"10kmE311N334";3110000;3340000;0.375;1;4
"10kmE315N236";3150000;2360000;0.5925;1;8
"10kmE315N335";3150000;3350000;0.375;1;4
"10kmE316N335";3160000;3350000;0.375;1;4
"10kmE317N335";3170000;3350000;0.375;1;4
"10kmE321N313";3210000;3130000;0.54;1;2
"10kmE322N313";3220000;3130000;0.54;1;2
"10kmE323N287";3230000;2870000;0.325;1;4
"10kmE323N289";3230000;2890000;0.5;1;2
"10kmE323N309";3230000;3090000;0.54;1;2
"10kmE324N387";3240000;3870000;0.21;1;2
"10kmE325N387";3250000;3870000;0.21;1;2
"10kmE326N315";3260000;3150000;0.54;1;2
"10kmE326N389";3260000;3890000;0.21;1;2
"10kmE326N390";3260000;3900000;0.21;1;2
"10kmE326N391";3260000;3910000;0.21;1;2
"10kmE327N234";3270000;2340000;0.63;1;8
"10kmE327N328";3270000;3280000;0.54;1;2
"10kmE327N391";3270000;3910000;0.21;1;2
"10kmE327N393";3270000;3930000;0.21;1;2
"10kmE327N394";3270000;3940000;0.21;1;2
"10kmE327N395";3270000;3950000;0.21;1;2
"10kmE327N396";3270000;3960000;0.21;1;2
"10kmE327N397";3270000;3970000;0.21;1;2
"10kmE328N392";3280000;3920000;0.21;1;2
